Style,Exterior Color,Interior Color,MPG,Engine,Drive Type,Fuel Type,Transmission,accidents,owners,year,brand,model,price,mileage,Cab Type,Bed Length,Range
SUV,Super White,Nutmeg,27 cty / 33 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,1,2021,Toyota,RAV4,"$30,995 ",33362,,,
Sedan,Midnight Black Metallic,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,2,2021,Toyota,Camry,"$25,998 ",50010,,,
SUV,Magnetic Gray Metallic/Midnight Black Metallic,Unknown,41 cty / 38 hwy,2.5L Inline-4 Hybrid,AWD,Hybrid,Automatic,0,1,2021,Toyota,RAV4,"$38,995 ",43610,,,
Hatchback,Black,Black,58 cty / 53 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,1,2021,Toyota,Prius,"$23,295 ",42236,,,
Sedan,Barcelona Red Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$17,980 ",96740,,,
Pickup Truck,Super White,Gray,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,1,2,2018,Toyota,Tacoma,"$29,998 ",47158,Crew Cab,Short Bed,
Sedan,Black Sand Pearl,Ash,29 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,3,2,2016,Toyota,Corolla,"$15,199 ",72150,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$19,500 ",51575,,,
Sedan,White,Black,28 cty / 35 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2018,Toyota,Corolla,"$18,999 ",78094,,,
Sedan,Midnight Black Metallic,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2019,Toyota,Camry,"$17,992 ",86226,,,
Sedan,Classic Silver Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$14,793 ",59261,,,
SUV,Predawn Gray Mica,Black,20 cty / 27 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,1,2,2019,Toyota,Highlander,"$26,017 ",80862,,,
SUV,Midnight Black Metallic,Black,25 cty / 33 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,1,2020,Toyota,RAV4,"$32,500 ",44868,,,
Sedan,Predawn Gray Mica,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,2,2019,Toyota,Camry,"$21,999 ",47810,,,
Sedan,Blueprint,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,1,2021,Toyota,Camry,"$26,859 ",32250,,,
Pickup Truck,White,Black,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,0,1,2022,Toyota,Tacoma,"$36,988 ",8490,Crew Cab,Short Bed,
Sedan,Blue,Unknown,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,2,2010,Toyota,Prius,"$7,299 ",168896,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,922 ",27903,,,
Sedan,Black,Gray,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,6,2010,Toyota,Prius,"$7,990 ",153390,,,
Sedan,Gray,Silver,40 cty / 38 hwy,2.5L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,1,2015,Toyota,Camry,"$15,512 ",134237,,,
Pickup Truck,Red,Unknown,19 cty / 24 hwy,2.7L Inline-4 Gas,RWD,Gas,Automatic,0,2,2015,Toyota,Tacoma,"$15,999 ",131262,Extended Cab,Standard Bed,
Sedan,Wind Chill Pearl,Cockpit Red,22 cty / 32 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$34,691 ",63405,,,
Pickup Truck,Magnetic Gray Metallic,Black/Red,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,0,1,2022,Toyota,Tacoma,"$41,990 ",12679,Crew Cab,Standard Bed,
SUV,Super White,Black,26 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2019,Toyota,RAV4,"$27,999 ",24430,,,
SUV,Black,Black,21 cty / 27 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,1,2019,Toyota,Highlander,"$35,495 ",26307,,,
Minivan,Midnight Black Metallic,Graphite,36 cty / 36 hwy,2.5L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,1,2022,Toyota,Sienna,"$47,934 ",19924,,,
Pickup Truck,Midnight Black Metallic,Black,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,Tacoma,"$48,471 ",28559,Crew Cab,Short Bed,
Sedan,Winter Gray Metallic,Dark Gray,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,3,2010,Toyota,Prius,"$10,995 ",114188,,,
Sedan,Black,Beige,29 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2015,Toyota,Corolla,"$15,777 ",78924,,,
Sedan,White,Gray,27 cty / 36 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2016,Toyota,Corolla,"$13,750 ",58100,,,
SUV,Midnight Black Metallic,Black,25 cty / 33 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,2,2019,Toyota,RAV4,"$28,999 ",39213,,,
Sedan,Classic Silver Metallic,Black,28 cty / 35 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,4,2018,Toyota,Corolla,"$18,998 ",59560,,,
Sedan,Black,Black,21 cty / 31 hwy,2.4L Inline-4 Gas,FWD,Gas,Automatic,0,3,2009,Toyota,Camry,"$9,999 ",92456,,,
Sedan,White,Black,28 cty / 36 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,4,2018,Toyota,Corolla,"$15,995 ",76360,,,
Sedan,Midnight Black Metallic,Unknown,22 cty / 32 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,1,2018,Toyota,Camry,"$26,777 ",57295,,,
Sedan,Black Sand Pearl,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2021,Toyota,Corolla,"$21,203 ",37354,,,
SUV,Super White,Black Graphite,17 cty / 20 hwy,4.0L V-6 Gas,4WD,Gas,Automatic,3,2,2019,Toyota,4Runner,"$32,984 ",97162,,,
Sedan,Super White,Almond,40 cty / 37 hwy,2.5L Inline-4 Hybrid,FWD,Hybrid,Automatic,2,3,2017,Toyota,Camry,"$23,995 ",48395,,,
Hatchback,Classic Silver Metallic,Misty Gray,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,3,2015,Toyota,Prius,"$11,450 ",185679,,,
Sedan,Midnight Black Metallic,Ash,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Camry,"$20,577 ",72607,,,
Sedan,Super White,Ash,22 cty / 32 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,2,2019,Toyota,Camry,"$28,951 ",73190,,,
Sedan,Classic Silver Metallic,Black,31 cty / 40 hwy,2.0L Inline-4 Gas,FWD,Gas,Automatic,1,2,2021,Toyota,Corolla,"$20,495 ",10210,,,
Pickup Truck,Magnetic Gray Metallic,Cement,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,Tacoma,"$35,898 ",38854,Crew Cab,Short Bed,
Sedan,Gray,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,2,2018,Toyota,Camry,"$19,890 ",89661,,,
Sedan,White,Gray,29 cty / 37 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,2,5,2014,Toyota,Corolla,"$11,995 ",112783,,,
Sedan,White,Tan,21 cty / 30 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,2,2017,Toyota,Camry,"$21,500 ",84420,,,
Pickup Truck,Magnetic Gray Metallic,Black,13 cty / 17 hwy,5.7L V-8 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,Tundra,"$43,462 ",46003,Crew Cab,Short Bed,
Pickup Truck,Midnight Black Metallic,Black/Gun Metal,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,Tacoma,"$37,488 ",39555,Crew Cab,Short Bed,
SUV,Ruby Flare Pearl,Nutmeg,27 cty / 34 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,1,2020,Toyota,RAV4,"$26,627 ",39244,,,
Sedan,Celestite,Black,53 cty / 52 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,1,2021,Toyota,Corolla,"$27,400 ",29543,,,
Sedan,Celestial Silver Metallic,Gray,21 cty / 31 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,1,1,2015,Toyota,Camry,"$16,498 ",110079,,,
Sedan,Celestial Silver Metallic,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$27,668 ",39597,,,
SUV,Lunar Rock,Black,25 cty / 33 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,1,1,2020,Toyota,RAV4,"$29,891 ",66832,,,
Sedan,White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2022,Toyota,Corolla,"$22,490 ",35989,,,
Sedan,Blue Streak Metallic,Black,44 cty / 47 hwy,2.5L Inline-4 Hybrid,FWD,Hybrid,Automatic,1,1,2020,Toyota,Camry,"$30,121 ",34128,,,
SUV,Midnight Black Metallic,Black,21 cty / 29 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Highlander,"$32,444 ",62232,,,
Sedan,Celestite Gray Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Corolla,"$18,489 ",74630,,,
Sedan,Midnight Black Metallic,Cockpit Red,27 cty / 38 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2022,Toyota,Camry,"$30,998 ",26258,,,
SUV,Midnight Black Metallic,Black,28 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,RAV4,"$29,990 ",57063,,,
SUV,Super White,Black,23 cty / 30 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2017,Toyota,RAV4,"$20,999 ",69203,,,
Sedan,Gold,Almond,24 cty / 33 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,3,2017,Toyota,Camry,"$18,275 ",52081,,,
Sedan,Super White,Unknown,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$19,000 ",83320,,,
Sedan,Blizzard Pearl,Moonstone,31 cty / 40 hwy,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$22,975 ",45500,,,
Sedan,Celestite,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Corolla,"$21,490 ",34561,,,
SUV,Super White,Black/Graphite,16 cty / 19 hwy,4.0L V-6 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,4Runner,"$34,990 ",39859,,,
Sedan,Super White,Ash,28 cty / 36 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2019,Toyota,Corolla,"$18,200 ",64626,,,
Sedan,Titanium Metallic,Silver,40 cty / 38 hwy,2.4L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,1,2007,Toyota,Camry,"$10,450 ",93753,,,
Sedan,Super White,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$20,988 ",44556,,,
Hatchback,Blue,Gray,,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,1,2,2015,Toyota,Prius,"$18,963 ",62017,,,
SUV,Lunar Rock,Black,28 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,RAV4,"$26,892 ",40065,,,
Sedan,Predawn Gray Mica,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Camry,"$22,995 ",71216,,,
Sedan,Silver,Almond,21 cty / 31 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,2,2016,Toyota,Camry,"$19,100 ",54525,,,
Sedan,Blue,Gray,28 cty / 36 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2017,Toyota,Corolla,"$19,998 ",50862,,,
SUV,Nautical Blue Metallic,Sand Beige,16 cty / 19 hwy,4.0L V-6 Gas,4WD,Gas,Automatic,0,2,2020,Toyota,4Runner,"$36,000 ",55165,,,
Sedan,Black Sand Pearl,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$18,995 ",43475,,,
Pickup Truck,Silver Sky Metallic,Black/Gun Metal,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,Tacoma,"$37,490 ",42701,Crew Cab,Short Bed,
Sedan,Blizzard Pearl,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Corolla,"$17,990 ",81342,,,
Sedan,Celestial Silver Metallic,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$25,990 ",36064,,,
Pickup Truck,Super White,Black W/Red Accent Stitching,19 cty / 22 hwy,2.7L Inline-4 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,Tacoma,"$29,200 ",43710,Extended Cab,Standard Bed,
Sedan,Celestial Silver Metallic,Unknown,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2019,Toyota,Camry,"$20,495 ",84415,,,
Pickup Truck,Silver,Blue,13 cty / 18 hwy,5.7L V-8 Gas,RWD,Gas,Automatic,0,1,2015,Toyota,Tundra,"$32,800 ",81000,Crew Cab,Short Bed,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$22,800 ",39919,,,
Hatchback,Classic Silver Metallic,Black,,1.8L Inline-4 Plug-In Hybrid,FWD,Plug-In Hybrid,Automatic,0,2,2020,Toyota,Prius Prime,"$27,499 ",12488,,,
Sedan,Predawn Gray Mica,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2022,Toyota,Camry,"$25,497 ",36226,,,
SUV,Midnight Black Metallic,Black,25 cty / 33 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,1,2021,Toyota,RAV4,"$29,674 ",60573,,,
Sedan,Supersonic Red,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Camry,"$19,761 ",87054,,,
Wagon,White,Black,29 cty / 34 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,3,2007,Toyota,Matrix,"$6,777 ",95199,,,
Sedan,Black,Black,25 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,1,2012,Toyota,Camry,"$11,991 ",139171,,,
Sedan,Super White,Ash,28 cty / 36 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,3,2019,Toyota,Corolla,"$16,988 ",43371,,,
Sedan,Super White,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,2,2020,Toyota,Camry,"$21,120 ",79762,,,
Pickup Truck,Super White,Graphite,19 cty / 25 hwy,2.7L Inline-4 Gas,RWD,Gas,Automatic,0,1,2010,Toyota,Tacoma,"$13,987 ",103781,Extended Cab,Standard Bed,
Sedan,Classic Silver Metallic,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2022,Toyota,Corolla,"$23,998 ",3500,,,
Pickup Truck,Magnetic Gray Metallic,Cement,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,Tacoma,"$38,988 ",41224,Crew Cab,Short Bed,
Pickup Truck,Magnetic Gray Metallic,Cement,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,Tacoma,"$38,951 ",15177,Crew Cab,Short Bed,
Sedan,Blueprint,Unknown,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,1,2021,Toyota,Corolla,"$19,705 ",66447,,,
SUV,Blizzard Pearl,Ash,22 cty / 28 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,1,1,2017,Toyota,RAV4,"$21,606 ",93887,,,
Pickup Truck,Celestial Silver Metallic,Gray,18 cty / 23 hwy,3.5L V-6 Gas Turbocharged,RWD,Gas,Automatic,1,1,2022,Toyota,Tundra,"$45,985 ",13240,Crew Cab,Short Bed,
SUV,Magnetic Gray Metallic,Black/Graphite,16 cty / 19 hwy,4.0L V-6 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,4Runner,"$35,331 ",44679,,,
Sedan,Midnight Black Metallic,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2023,Toyota,Camry,"$30,791 ",66,,,
Sedan,Gray,Gray,26 cty / 34 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,2,2,2013,Toyota,Corolla,"$9,990 ",111291,,,
Sedan,Celestite,Black/Blue,31 cty / 38 hwy,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$24,990 ",24068,,,
Sedan,Winter Gray Metallic,Misty Gray,51 cty / 48 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,2,2010,Toyota,Prius,"$11,999 ",117313,,,
Sedan,Gray,Unknown,25 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2012,Toyota,Camry,"$15,890 ",20487,,,
Sedan,Black Sand Pearl,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,497 ",52926,,,
Sedan,Blueprint,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$20,400 ",53143,,,
Sedan,Super White,Ash/Black,24 cty / 33 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,3,2017,Toyota,Camry,"$17,877 ",79861,,,
SUV,Super White,Light Gray,27 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,RAV4,"$26,997 ",53184,,,
Pickup Truck,Super White,Cement,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,Tacoma,"$35,296 ",29821,Crew Cab,Short Bed,
Sedan,Silver,Gray,20 cty / 29 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,4,2011,Toyota,Avalon,"$10,995 ",128181,,,
Sedan,Midnight Black Metallic,Black,22 cty / 32 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,1,2018,Toyota,Camry,"$29,995 ",55463,,,
SUV,Silver,Black,17 cty / 21 hwy,4.0L V-6 Gas,4WD,Gas,Automatic,0,2,2013,Toyota,4Runner,"$17,495 ",165753,,,
Sedan,Midnight Black Metallic,Ash,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2023,Toyota,Camry,"$28,888 ",4896,,,
Sedan,Classic Silver Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Corolla,"$23,490 ",21305,,,
Sedan,Silver,Black,21 cty / 31 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,1,2015,Toyota,Camry,"$17,231 ",88001,,,
Pickup Truck,Midnight Black Metallic,Black,13 cty / 17 hwy,5.7L V-8 Gas,4WD,Gas,Automatic,0,0,2021,Toyota,Tundra,"$37,994 ",51214,Crew Cab,Short Bed,
Sedan,Black Sand Pearl,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$20,850 ",41248,,,
SUV,Magnetic Gray Metallic,Black,27 cty / 34 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,1,2020,Toyota,RAV4,"$28,528 ",28588,,,
Minivan,Black,Gray,19 cty / 27 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,1,2,2018,Toyota,Sienna,"$15,749 ",132783,,,
Pickup Truck,Silver,Black/Orange,17 cty / 20 hwy,3.5L V-6 Gas,4WD,Gas,Manual,1,1,2017,Toyota,Tacoma,"$40,500 ",48791,Extended Cab,Short Bed,
Sedan,Predawn Gray Mica,Ash,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Camry,"$24,995 ",54693,,,
Sedan,Ice Cap,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,0,2023,Toyota,Camry,"$30,740 ",1902,,,
SUV,Shoreline Blue Pearl,Ash,,L - Electric,FWD,Electric,Automatic,0,3,2013,Toyota,RAV4,"$11,995 ",109087,,,103 mi
Pickup Truck,White,Gray,16 cty / 20 hwy,4.0L V-6 Gas,4WD,Gas,Automatic,0,1,2008,Toyota,Tacoma,"$9,999 ",286643,Crew Cab,Short Bed,
Sedan,Celestite,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$21,999 ",33184,,,
Sedan,Super White,Unknown,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,2,2020,Toyota,Camry,"$24,747 ",30120,,,
SUV,Midnight Black Metallic,Black,28 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,RAV4,"$26,826 ",67355,,,
Sedan,Celestial Silver Metallic,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2022,Toyota,Camry,"$25,157 ",40859,,,
SUV,Magnetic Gray Metallic,Black,41 cty / 38 hwy,2.5L Inline-4 Hybrid,AWD,Hybrid,Automatic,0,1,2021,Toyota,RAV4,"$42,990 ",11034,,,
Pickup Truck,Silver,Cement,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,1,1,2020,Toyota,Tacoma,"$35,083 ",46589,Crew Cab,Short Bed,
Sedan,White,Cockpit Red,27 cty / 38 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2022,Toyota,Camry,"$31,476 ",31178,,,
SUV,Silver Sky Metallic,Ash,41 cty / 38 hwy,2.5L Inline-4 Hybrid,AWD,Hybrid,Automatic,1,1,2021,Toyota,RAV4,"$41,599 ",35460,,,
Sedan,White,Orange,29 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2014,Toyota,Corolla,"$14,995 ",71196,,,
SUV,Moon Dust,Black,21 cty / 29 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Highlander,"$32,499 ",65112,,,
SUV,Silver,Black,16 cty / 20 hwy,4.0L V-6 Gas,4WD,Gas,Automatic,1,2,2008,Toyota,FJ Cruiser,"$14,450 ",189356,,,
Sedan,Predawn Gray Mica,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,2,2020,Toyota,Camry,"$24,998 ",44193,,,
Sedan,Classic Silver Metallic,Black,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2022,Toyota,Corolla,"$19,000 ",12016,,,
Sedan,Classic Silver Metallic,Dark Charcoal,22 cty / 32 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,2,4,2011,Toyota,Camry,"$9,693 ",149628,,,
Pickup Truck,Magnetic Gray Metallic,Cement,17 cty / 20 hwy,3.5L V-6 Gas,4WD,Gas,Manual,0,1,2021,Toyota,Tacoma,"$40,628 ",36184,Crew Cab,Short Bed,
Sedan,Blue Crush Metallic,Moonstone,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Corolla,"$19,825 ",62238,,,
Hatchback,Midnight Black Metallic,Black,,1.8L Inline-4 Plug-In Hybrid,FWD,Plug-In Hybrid,Automatic,1,1,2022,Toyota,Prius Prime,"$23,995 ",32797,,,
Sedan,Midnight Black Metallic,Black/Red,22 cty / 31 hwy,3.5L V-6 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$35,730 ",20556,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2020,Toyota,Corolla,"$18,800 ",69983,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,2,2020,Toyota,Corolla,"$18,800 ",69983,,,
Sedan,Gray,Tan,29 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2016,Toyota,Corolla,"$17,499 ",47776,,,
Sedan,Wind Chill Pearl,Black,25 cty / 34 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,1,2021,Toyota,Camry,"$29,985 ",42694,,,
Sedan,Super White,Ash,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,2,2018,Toyota,Camry,"$16,895 ",95975,,,
Sedan,Super White,Light Gray,30 cty / 38 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Corolla,"$16,348 ",91352,,,
Sedan,Celestial Silver Metallic,Black,28 cty / 39 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2020,Toyota,Camry,"$24,700 ",61943,,,
Sedan,Super White,Ivory,25 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,3,2012,Toyota,Camry,"$14,983 ",90660,,,
Sedan,Black Sand Pearl,Dark Charcoal,26 cty / 34 hwy,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,2,2011,Toyota,Corolla,"$8,900 ",173529,,,
Hatchback,Clearwater Blue Metallic,Dark Gray,51 cty / 49 hwy,1.8L Inline-4 Hybrid,FWD,Hybrid,Automatic,0,2,2014,Toyota,Prius,"$17,760 ",88142,,,
Pickup Truck,Cement,Black,13 cty / 17 hwy,5.7L V-8 Gas,4WD,Gas,Automatic,0,1,2021,Toyota,Tundra,"$44,325 ",22823,Crew Cab,Short Bed,
SUV,Magnetic Gray Metallic,Black,22 cty / 28 hwy,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,1,2018,Toyota,RAV4,"$21,585 ",99226,,,
Sedan,Silver,Gray,23 cty / 32 hwy,2.4L Inline-4 Gas,FWD,Gas,Automatic,0,1,2004,Toyota,Camry,"$5,799 ",164148,,,
SUV,Silver Sky Metallic,Black,27 cty / 35 hwy,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,1,2021,Toyota,RAV4,"$28,000 ",29068,,,
Pickup Truck,Magnetic Gray Metallic,Cement,18 cty / 22 hwy,3.5L V-6 Gas,4WD,Gas,Automatic,0,2,2020,Toyota,Tacoma,"$39,900 ",16970,Crew Cab,Short Bed,
